name,street,post_code,city,longitude,latitude,humidity_avg,pressure_avg,temperature_avg,pm10_avg,pm25_avg,timestamp
SZKOŁA PODSTAWOWA IM. TADEUSZA KOŚCIUSZKI W WILKOWIECKU,UL. SZKOLNA,42-152,WILKOWIECKO,18.8698338,50.9513279,98.16666666666667,990.5222222222224,5.988888888888889,17.522222222222222,14.899999999999999,2023-10-16 20:37:21
SZKOŁA PODSTAWOWA W WINOWNIE,UL. SZKOLNA,42-350,WINOWNO,19.2179609,50.575152,100.0,980.875,4.933333333333334,13.575000000000001,11.6,2023-10-16 20:37:21
PUBLICZNA SZKOŁA PODSTAWOWA IM. HELENY I JÓZEFA ŚWIĄTYŃSKICH W OSSALI,,28-221,OSSALA,21.3789417,50.4840431,94.16666666666667,999.7166666666667,5.75,22.775000000000002,20.150000000000002,2023-10-16 20:37:21
SZKOŁA PODSTAWOWA W KOSMOWIE,,62-834,KOSMÓW-KOLONIA,18.2652533,51.8848855,77.00833333333334,1005.4416666666666,6.891666666666667,12.233333333333334,10.700000000000001,2023-10-16 20:37:21
TECHNIKUM NR 2 IM. STANISŁAWA LIGONIA W RUDZIE ŚLĄSKIEJ,UL. GLINIANA,41-711,RUDA ŚLĄSKA,18.857316,50.280234,73.96666666666667,983.275,7.816666666666666,38.81666666666667,32.18333333333333,2023-10-16 20:37:21
TECHNIKUM NR 2 W ZESPOLE SZKÓŁ NR 2 IM.ŚW.JADWIGI KRÓLOWEJ W ANDRYCHOWIE ,UL. STEFANA BATOREGO,34-120,ANDRYCHÓW,19.3412842,49.8548934,66.23333333333333,982.3916666666668,7.625,7.658333333333332,5.95,2023-10-16 20:37:21
SZKOŁA PODSTAWOWA IM. ZBIGNIEWA WODECKIEGO W PIORUNCE,,33-380,PIORUNKA,20.9906818,49.4898945,96.30833333333334,955.7416666666667,3.158333333333333,19.008333333333333,16.441666666666666,2023-10-16 20:37:21
SZKOŁA PODSTAWOWA NR 7 IM. KS. STANISŁAWA STASZICA W JAROSŁAWIU,UL. DOLNOLEŻAJSKA,37-500,JAROSŁAW,22.680698,50.044337,93.325,999.725,6.8500000000000005,12.858333333333334,10.158333333333333,2023-10-16 20:37:21
SZKOŁA PODSTAWOWA W UŚCIU GORLICKIM,,38-315,UŚCIE GORLICKIE,21.1384131,49.5218473,97.425,972.8916666666668,3.9333333333333336,2.5500000000000003,2.35,2023-10-16 20:37:21
SZKOŁA PODSTAWOWA IM.MARSZAŁKA JÓZEFA PIŁSUDSKIEGO W GĄSKACH,,19-400,GĄSKI,15.921626,54.236797,98.69166666666666,996.875,5.358333333333333,1.0333333333333334,0.75,2023-10-16 20:37:21
